id,energiskalaid,buildingcategoryname,value,grade,arealkorrektsjon
1,1,Småhus,95,A,800
2,1,Småhus,120,B,1600
3,1,Småhus,145,C,2500
4,1,Småhus,175,D,4100
5,1,Småhus,205,E,5800
6,1,Småhus,250,F,8000
7,1,Leiligheter,85,A,600
8,1,Leiligheter,95,B,1000
9,1,Leiligheter,110,C,1500
10,1,Leiligheter,135,D,2200
11,1,Leiligheter,160,E,3000
12,1,Leiligheter,200,F,4000
13,1,Barnehage,85,A,
14,1,Barnehage,115,B,
15,1,Barnehage,145,C,
16,1,Barnehage,180,D,
17,1,Barnehage,220,E,
18,1,Barnehage,275,F,
19,1,Kontorbygning,90,A,
20,1,Kontorbygning,115,B,
21,1,Kontorbygning,145,C,
22,1,Kontorbygning,180,D,
23,1,Kontorbygning,220,E,
24,1,Kontorbygning,275,F,
25,1,Skolebygning,75,A,
26,1,Skolebygning,105,B,
27,1,Skolebygning,135,C,
28,1,Skolebygning,175,D,
29,1,Skolebygning,220,E,
30,1,Skolebygning,280,F,
31,1,Universitets- og høgskolebygning,90,A,
32,1,Universitets- og høgskolebygning,125,B,
33,1,Universitets- og høgskolebygning,160,C,
34,1,Universitets- og høgskolebygning,200,D,
35,1,Universitets- og høgskolebygning,240,E,
36,1,Universitets- og høgskolebygning,300,F,
37,1,Sykehus,175,A,
38,1,Sykehus,240,B,
39,1,Sykehus,305,C,
40,1,Sykehus,360,D,
41,1,Sykehus,415,E,
42,1,Sykehus,505,F,
43,1,Sykehjem,145,A,
44,1,Sykehjem,195,B,
45,1,Sykehjem,240,C,
46,1,Sykehjem,295,D,
47,1,Sykehjem,355,E,
48,1,Sykehjem,440,F,
49,1,Hotellbygning,140,A,
50,1,Hotellbygning,190,B,
51,1,Hotellbygning,240,C,
52,1,Hotellbygning,290,D,
53,1,Hotellbygning,340,E,
54,1,Hotellbygning,415,F,
55,1,Idrettsbygning,125,A,
56,1,Idrettsbygning,165,B,
57,1,Idrettsbygning,205,C,
58,1,Idrettsbygning,275,D,
59,1,Idrettsbygning,345,E,
60,1,Idrettsbygning,440,F,
61,1,Forretningsbygning,115,A,
62,1,Forretningsbygning,160,B,
63,1,Forretningsbygning,210,C,
64,1,Forretningsbygning,255,D,
65,1,Forretningsbygning,300,E,
66,1,Forretningsbygning,375,F,
67,1,Kulturbygning,95,A,
68,1,Kulturbygning,135,B,
69,1,Kulturbygning,175,C,
70,1,Kulturbygning,215,D,
71,1,Kulturbygning,255,E,
72,1,Kulturbygning,320,F,
73,1,"Lett industribygning, verksted",105,A,
74,1,"Lett industribygning, verksted",145,B,
75,1,"Lett industribygning, verksted",185,C,
76,1,"Lett industribygning, verksted",250,D,
77,1,"Lett industribygning, verksted",315,E,
78,1,"Lett industribygning, verksted",405,F,
79,2,Småhus,95,A,800
80,2,Småhus,120,B,1600
81,2,Småhus,145,C,2500
82,2,Småhus,175,D,4100
83,2,Småhus,205,E,5800
84,2,Småhus,250,F,8000
85,2,Leiligheter,85,A,600
86,2,Leiligheter,95,B,1000
87,2,Leiligheter,110,C,1500
88,2,Leiligheter,135,D,2200
89,2,Leiligheter,160,E,3000
90,2,Leiligheter,200,F,4000
91,2,Barnehage,85,A,
92,2,Barnehage,115,B,
93,2,Barnehage,145,C,
94,2,Barnehage,180,D,
95,2,Barnehage,220,E,
96,2,Barnehage,275,F,
97,2,Kontorbygning,90,A,
98,2,Kontorbygning,115,B,
99,2,Kontorbygning,145,C,
100,2,Kontorbygning,180,D,
101,2,Kontorbygning,220,E,
102,2,Kontorbygning,275,F,
103,2,Skolebygning,75,A,
104,2,Skolebygning,105,B,
105,2,Skolebygning,135,C,
106,2,Skolebygning,175,D,
107,2,Skolebygning,220,E,
108,2,Skolebygning,280,F,
109,2,Universitets- og høgskolebygning,90,A,
110,2,Universitets- og høgskolebygning,125,B,
111,2,Universitets- og høgskolebygning,160,C,
112,2,Universitets- og høgskolebygning,200,D,
113,2,Universitets- og høgskolebygning,240,E,
114,2,Universitets- og høgskolebygning,300,F,
115,2,Sykehus,175,A,
116,2,Sykehus,240,B,
117,2,Sykehus,305,C,
118,2,Sykehus,360,D,
119,2,Sykehus,415,E,
120,2,Sykehus,505,F,
121,2,Sykehjem,145,A,
122,2,Sykehjem,195,B,
123,2,Sykehjem,240,C,
124,2,Sykehjem,295,D,
125,2,Sykehjem,355,E,
126,2,Sykehjem,440,F,
127,2,Hotellbygning,140,A,
128,2,Hotellbygning,190,B,
129,2,Hotellbygning,240,C,
130,2,Hotellbygning,290,D,
131,2,Hotellbygning,340,E,
132,2,Hotellbygning,415,F,
133,2,Idrettsbygning,125,A,
134,2,Idrettsbygning,165,B,
135,2,Idrettsbygning,205,C,
136,2,Idrettsbygning,275,D,
137,2,Idrettsbygning,345,E,
138,2,Idrettsbygning,440,F,
139,2,Forretningsbygning,115,A,
140,2,Forretningsbygning,160,B,
141,2,Forretningsbygning,210,C,
142,2,Forretningsbygning,255,D,
143,2,Forretningsbygning,300,E,
